matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
group_mode,3,CMIG3|CPFE3|ELET6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.15813400484077553,0.139113959949607,0.1731531084913859
group_mode,3,CMIG3|CPFE3|SBSP3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.12270616898071579,0.0916861829046463,0.1621349460813337
group_mode,3,CMIG3|CPLE3|CPLE6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.17194140752782475,0.1566562701943324,0.1804124427020917
group_mode,3,CMIG3|CPLE3|ELET3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.16554387328609857,0.1482997806333088,0.1787555096870502
group_mode,3,CMIG3|CPLE3|SAPR4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.14204796767627034,0.1207533133131813,0.1787555096870502
group_mode,3,CMIG3|CPLE3|SHUL4,Utilities|Utilities|Industrials,Electric Utility|Electric Utility|Machinery and Equipment,2,False,False,0.07704601777441288,0.0181627045728861,0.1787555096870502
group_mode,3,CMIG3|CPLE6|ELET6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.16890590277316822,0.1531521571260271,0.1804124427020917
group_mode,3,CMIG3|ELET3|SAPR4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.134066843719951,0.1059891215933368,0.1695763295379367
group_mode,3,CMIG3|ELET3|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.1333005588934336,0.1035691749781887,0.1695763295379367
group_mode,3,CMIG3|SAPR4|SHUL4,Utilities|Utilities|Industrials,Electric Utility|Water and Sanitation|Machinery and Equipment,2,False,False,0.07392301375713917,0.0181627045728861,0.1266350800285795
group_mode,3,CMIG4|COCE5|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.090423115053069,0.0561887290341667,0.1262307821936296
group_mode,3,CMIG4|CPFE3|ELET6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.15982869424028706,0.139113959949607,0.1769192844433421
group_mode,3,CMIG4|CPFE3|SBSP3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.12432372638560986,0.0916861829046463,0.1634528383279121
group_mode,3,CMIG4|CPLE3|CPLE6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.17094039745086123,0.1566562701943324,0.1807328832379018
group_mode,3,CMIG4|CPLE3|ELET3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.16568327059683086,0.1482997806333088,0.1754320389203496
group_mode,3,CMIG4|CPLE6|ELET6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.1702681082690903,0.1531521571260271,0.1807328832379018
group_mode,3,CMIG4|ELET3|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.13437264980288416,0.1035691749781887,0.1733179922368342
group_mode,3,CPLE3|ELET3|SAPR4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.12501407184660895,0.1059891215933368,0.1482997806333088
group_mode,3,CPLE3|KEPL3|SAPR4,Utilities|Industrials|Utilities,Electric Utility|Machinery and Equipment|Water and Sanitation,2,False,False,0.05669279522485437,0.0172751221358934,0.1207533133131813
group_mode,3,CPLE3|KEPL3|SHUL4,Utilities|Industrials|Industrials,Electric Utility|Machinery and Equipment|Machinery and Equipment,2,False,False,0.03432995850298254,0.0172751221358934,0.0514949143097519
group_mode,3,CPLE3|SAPR4|SHUL4,Utilities|Utilities|Industrials,Electric Utility|Water and Sanitation|Machinery and Equipment,2,False,False,0.0773148030154785,0.0342198390633023,0.1207533133131813
